dex,move_name
1,LIGHT_SCREEN
1,SKULL_BASH
1,SAFEGUARD
1,RAZOR_WIND
1,PETAL_DANCE
4,BELLY_DRUM
4,ANCIENTPOWER
4,ROCK_SLIDE
4,BITE
4,OUTRAGE
4,BEAT_UP
7,MIRROR_COAT
7,HAZE
7,MIST
7,CONFUSION
7,FORESIGHT
7,FLAIL
16,PURSUIT
16,FAINT_ATTACK
16,FORESIGHT
19,SCREECH
19,FLAME_WHEEL
19,FURY_SWIPES
19,BITE
19,COUNTER
19,REVERSAL
21,FAINT_ATTACK
21,FALSE_SWIPE
21,SCARY_FACE
21,QUICK_ATTACK
21,TRI_ATTACK
23,PURSUIT
23,SLAM
23,SPITE
23,BEAT_UP
23,CRUNCH
27,FLAIL
27,SAFEGUARD
27,COUNTER
27,RAPID_SPIN
27,METAL_CLAW
29,SUPERSONIC
29,DISABLE
29,TAKE_DOWN
29,FOCUS_ENERGY
29,CHARM
29,COUNTER
29,BEAT_UP
32,SUPERSONIC
32,DISABLE
32,TAKE_DOWN
32,CONFUSION
32,AMNESIA
32,COUNTER
32,BEAT_UP
37,FAINT_ATTACK
37,HYPNOSIS
37,FLAIL
37,SPITE
37,DISABLE
41,QUICK_ATTACK
41,PURSUIT
41,FAINT_ATTACK
41,GUST
41,WHIRLWIND
43,SWORDS_DANCE
43,RAZOR_LEAF
43,FLAIL
43,SYNTHESIS
46,FALSE_SWIPE
46,SCREECH
46,COUNTER
46,PSYBEAM
46,FLAIL
46,LIGHT_SCREEN
46,PURSUIT
48,BATON_PASS
48,SCREECH
48,GIGA_DRAIN
50,FAINT_ATTACK
50,SCREECH
50,ANCIENTPOWER
50,PURSUIT
50,BEAT_UP
52,SPITE
52,CHARM
52,HYPNOSIS
52,AMNESIA
54,ICE_BEAM
54,HYPNOSIS
54,PSYBEAM
54,FORESIGHT
54,LIGHT_SCREEN
54,FUTURE_SIGHT
54,PSYCHIC_M
54,CROSS_CHOP
56,ROCK_SLIDE
56,FORESIGHT
56,MEDITATE
56,COUNTER
56,REVERSAL
56,BEAT_UP
58,BODY_SLAM
58,SAFEGUARD
58,CRUNCH
58,THRASH
58,FIRE_SPIN
60,MIST
60,SPLASH
60,BUBBLEBEAM
60,HAZE
60,MIND_READER
63,LIGHT_SCREEN
63,ENCORE
63,BARRIER
66,LIGHT_SCREEN
66,MEDITATE
66,ROLLING_KICK
66,ENCORE
69,SWORDS_DANCE
69,ENCORE
69,REFLECT
69,SYNTHESIS
69,LEECH_LIFE
72,AURORA_BEAM
72,MIRROR_COAT
72,RAPID_SPIN
72,HAZE
72,SAFEGUARD
74,MEGA_PUNCH
74,ROCK_SLIDE
77,FLAME_WHEEL
77,THRASH
77,DOUBLE_KICK
77,HYPNOSIS
77,CHARM
77,QUICK_ATTACK
79,SAFEGUARD
79,BELLY_DRUM
79,FUTURE_SIGHT
79,STOMP
83,FORESIGHT
83,MIRROR_MOVE
83,GUST
83,QUICK_ATTACK
83,FLAIL
84,QUICK_ATTACK
84,SUPERSONIC
84,HAZE
84,FAINT_ATTACK
84,FLAIL
86,LICK
86,PERISH_SONG
86,DISABLE
86,PECK
86,SLAM
86,ENCORE
88,HAZE
88,MEAN_LOOK
88,LICK
90,BUBBLEBEAM
90,TAKE_DOWN
90,BARRIER
90,RAPID_SPIN
90,SCREECH
92,PSYWAVE
92,PERISH_SONG
92,HAZE
95,ROCK_SLIDE
95,FLAIL
96,LIGHT_SCREEN
96,BARRIER
98,DIG
98,HAZE
98,AMNESIA
98,FLAIL
98,SLAM
102,SYNTHESIS
102,MOONLIGHT
102,REFLECT
102,MEGA_DRAIN
102,ANCIENTPOWER
104,ROCK_SLIDE
104,ANCIENTPOWER
104,BELLY_DRUM
104,SCREECH
104,SKULL_BASH
104,PERISH_SONG
104,SWORDS_DANCE
108,BELLY_DRUM
108,MAGNITUDE
108,BODY_SLAM
109,SCREECH
109,PSYWAVE
109,PSYBEAM
109,DESTINY_BOND
109,PAIN_SPLIT
111,CRUNCH
111,REVERSAL
111,ROCK_SLIDE
111,THRASH
111,PURSUIT
111,COUNTER
111,MAGNITUDE
113,PRESENT
113,METRONOME
113,HEAL_BELL
114,FLAIL
114,CONFUSION
114,MEGA_DRAIN
114,REFLECT
114,AMNESIA
115,STOMP
115,FORESIGHT
115,FOCUS_ENERGY
115,SAFEGUARD
