# Nicknames are from the English pret disassembly. Other language ROMs
# use different nicknames for the same trades. If localized trade tables
# become available, add per-language CSVs and select at interpretation
# time alongside the game variant.
bit_index,give_species,receive_species,nickname
0,NIDORINO,NIDORINA,TERRY
1,ABRA,MR_MIME,MARCEL
2,BUTTERFREE,BEEDRILL,CHIKUCHIKU
3,PONYTA,SEEL,SAILOR
4,SPEAROW,FARFETCHD,DUX
5,SLOWBRO,LICKITUNG,MARC
6,POLIWHIRL,JYNX,LOLA
7,RAICHU,ELECTRODE,DORIS
8,VENONAT,TANGELA,CRINKLES
9,NIDORAN_M,NIDORAN_F,SPOT
