dex,move_id
4,53
5,53
6,53
7,58
8,58
9,58
20,58
20,85
25,85
26,85
29,85
30,58
30,85
31,53
31,58
31,85
32,85
33,58
33,85
34,53
34,58
34,85
35,53
35,58
35,85
36,53
36,58
36,85
37,53
38,53
39,53
39,58
39,85
40,53
40,58
40,85
52,85
53,85
54,58
55,58
56,85
57,85
58,53
59,53
60,58
61,58
62,58
66,53
67,53
68,53
72,58
73,58
74,53
75,53
76,53
77,53
78,53
79,53
79,58
80,53
80,58
81,85
82,85
86,58
87,58
88,53
88,85
89,53
89,85
90,58
91,58
92,85
93,85
94,85
98,58
99,58
100,85
101,85
104,53
104,58
105,53
105,58
108,53
108,58
108,85
109,53
109,85
110,53
110,85
111,53
111,58
111,85
112,53
112,58
112,85
113,53
113,58
113,85
115,53
115,58
115,85
116,58
117,58
118,58
119,58
120,58
120,85
121,58
121,85
122,85
124,58
125,85
126,53
128,53
128,58
128,85
130,53
130,58
130,85
131,58
131,85
134,58
135,85
136,53
137,58
137,85
138,58
139,58
140,58
141,58
142,53
143,53
143,58
143,85
144,58
145,85
146,53
147,53
147,58
147,85
148,53
148,58
148,85
149,53
149,58
149,85
150,53
150,58
150,85
151,53
151,58
151,85
155,53
156,53
157,53
158,58
159,58
160,58
170,58
170,85
171,58
171,85
172,85
173,53
174,53
175,53
176,53
179,85
180,85
181,85
183,58
184,58
186,58
190,85
194,58
195,58
199,53
199,58
200,85
203,85
206,53
206,85
209,85
210,85
211,58
215,58
218,53
219,53
220,58
221,58
222,58
223,53
223,58
224,53
224,58
225,58
226,58
228,53
229,53
230,58
233,58
233,85
238,58
239,85
240,53
241,58
241,85
242,53
242,58
242,85
243,85
244,53
245,58
248,53
248,58
248,85
249,58
249,85
250,53
250,85
