"distribution_name","pokemon_name","dex_no","level","gender","move1","move2","move3","move4","held_item","ot","id_no","shiny","games"
"Bulbasaur","Bulbasaur","0001","5","M/F","Tackle","Growl","AncientPower","","None","(Hatcher's)","(Hatcher's)","possible","G/S/C"
"Charmander","Charmander","0004","5","M/F","Scratch","Growl","Crunch","","None","(Hatcher's)","(Hatcher's)","possible","G/S/C"
"Totodile","Totodile","0158","5","M/F","Scratch","Leer","Submission","","None","(Hatcher's)","(Hatcher's)","possible","G/S/C"
"Hoothoot","Hoothoot","0163","5","M/F","Tackle","Growl","Night Shade","","None","(Hatcher's)","(Hatcher's)","possible","G/S/C"
"Pichu","Pichu","0172","5","M/F","ThunderShock","Charm","Sing","","None","(Hatcher's)","(Hatcher's)","possible","G/S/C"
"Psyduck","Psyduck","0054","5","M/F","Scratch","Tail Whip","Petal Dance","","None","(Hatcher's)","(Hatcher's)","possible","G/S/C"
"Chikorita","Chikorita","0152","5","M/F","Tackle","Growl","Petal Dance","","None","(Hatcher's)","(Hatcher's)","possible","G/S/C"
"Pichu","Pichu","0172","5","M/F","ThunderShock","Charm","Petal Dance","","None","(Hatcher's)","(Hatcher's)","possible","G/S/C"
"Cleffa","Cleffa","0173","5","M/F","Pound","Charm","Encore","Petal Dance","None","(Hatcher's)","(Hatcher's)","possible","G/S/C"
"Igglybuff","Igglybuff","0174","5","M/F","Sing","Charm","Defense Curl","Petal Dance","None","(Hatcher's)","(Hatcher's)","possible","G/S/C"
"Smoochum","Smoochum","0238","5","F","Pound","Lick","Petal Dance","","None","(Hatcher's)","(Hatcher's)","possible","G/S/C"
"Chikorita","Chikorita","0152","5","M/F","Tackle","Growl","Petal Dance","","None","(Hatcher's)","(Hatcher's)","possible","G/S/C"
"Pichu","Pichu","0172","5","M/F","ThunderShock","Charm","Sing","","None","(Hatcher's)","(Hatcher's)","possible","G/S/C"
"Cleffa","Cleffa","0173","5","M/F","Pound","Charm","Encore","Swift","None","(Hatcher's)","(Hatcher's)","possible","G/S/C"
"Wooper","Wooper","0194","5","M/F","Water Gun","Tail Whip","Belly Drum","","None","(Hatcher's)","(Hatcher's)","possible","G/S/C"
"Phanpy","Phanpy","0231","5","M/F","Tackle","Growl","Encore","","None","(Hatcher's)","(Hatcher's)","possible","G/S/C"
"Smoochum","Smoochum","0238","5","F","Pound","Lick","Metronome","","None","(Hatcher's)","(Hatcher's)","possible","G/S/C"
"World Hobby Fair Celebi","Celebi","0251","5","","Leech Seed","Confusion","Heal Bell","Recover","None","トウキョー","00000-65535","","G/S/C"
"Shogakukan Annual Event Celebi","Celebi","0251","5","","","","","","None","???","00000-65535","","G/S/C"
"Nintendo Space World 2000 Celebi","Celebi","0251","5","","Leech Seed","Confusion","Heal Bell","Recover","None","スペースワールド","00000-65535","","G/S/C"
